Total RAM: 16649436 KB
Free RAM: 4425784 KB
Used RAM: 12223652 KB
Processes:
PID: 25100, Process Name: ServiceHub.TestWindowStoreHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 906ms, Memory: 72100 KB
PID: 16352, Process Name: VCPkgSrv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 578ms, Memory: 72608 KB
PID: 15432, Process Name: smartscreen.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 109ms, Memory: 24536 KB
PID: 25432, Process Name: VCPkgSrv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 46ms, Memory: 19364 KB
PID: 13260, Process Name: SearchProtocolHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 9324 KB
PID: 25824, Process Name: VCPkgSrv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 62ms, Memory: 19404 KB
PID: 23168, Process Name: WindowResourceTracker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 140ms, Memory: 6264 KB
PID: 11996, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 46ms, Memory: 17264 KB
PID: 124, Process Name: NOTEPAD.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 156ms, Memory: 18028 KB
PID: 4404, Process Name: cmd.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 5156 KB
PID: 22104, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 11804 KB
PID: 19648, Process Name: tasklist.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 10420 KB
PID: 14804, Process Name: findstr.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 4552 KB
